SampleID,Species,ACE2_genotype,Locality,Latitude,Longitude
BYRWA-01,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-02,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-03,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-04,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-05,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-06,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-07,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-08,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-09,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-10,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-11,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-12,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-13,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-14,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-15,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-16,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-17,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-18,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-19,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
BYRWA-20,Culex pipiens pipiens,Cxp/Cxp,"Byron, WA",46.192911,-119.897868
LINCA-01,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA",38.904465,-121.306331
LINCA-02,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA",38.904465,-121.306331
LINCA-03,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA",38.904465,-121.306331
LINCA-04,Culex pipiens pipiens,Cxp/Cxp,"Lincoln, CA",38.904465,-121.306331
