code	locality	site	pip.count	hyb.count	qui.count	year	h-index	lat	long	ref	notes	orig.locality	order				
001.ByroWA.2023	"Byron, WA"	ByroWA	37	2	0	2023	0.97	46.193	-119.899	This study	Vectech ID = BYRWA	Byron WA	1				
002.StAnQC.1944	"St. Anne de Bellevue, QC"	StAnQC	22	1	0	1944	1.00	45.456	-73.631	"Barr, 1957"	"Barr, 1957, DVM ratios "	"St. Anne de Bellevue, Quebec"	2				
003.OttaON.1957	"Ottawa, ON"	OttaON	28	0	0	1957	1.00	45.4209	-75.6901	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Ottawa, Ontario"	3				
004.StPaMN.1953	"St. Paul, MN"	StPaMN	27	0	0	1953	1.00	44.9497	-93.0931	"Barr, 1957"	"Barr, 1957, DVM ratios "	"St. Paul, Minnesota"	4				
005.StPaMN.1953	"St. Paul, MN"	StPaMN	6	0	0	1953	1.00	44.9497	-93.0931	"Barr, 1957"	"Barr, 1957, DVM ratios (J.J. Parks)"	"St. Paul, Minnesota"	5				
006.GreaIL.1944	"Great Lakes, IL"	GreaIL	49	0	0	1944	1.00	42.3093	-87.8497	"Barr, 1957"	"Barr, 1957, DVM ratios (1944 season)"	"Great Lakes, Illinois"	6				
007.CookIL.2023	"Cook Co, IL"	CookIL	17	0	0	2023	1.00	42.031763	-87.930871	This study	Vectech ID = COOIL	Cook County IL	7				
008.CachUT.2023	"Cache Valley (Hyde Park), UT"	CachUT	20	0	0	2023	1.00	41.79696	-111.82005	This study	Vectech ID = USUUT	Cache (Hyde Park) UT	8				
009.BarnMA.2023	"Barnstable Co, MA"	BarnMA	12	0	0	2023	1.00	41.793615	-69.994266	This study	Vectech ID = BARMA	Barnstable County MA	9				
010.TrumIL.2012	"Trumbull Park, IL"	TrumIL	840	26	13	2012	0.97	41.7049	-87.5644	"Kothera et al, 2020 "	"Kothera et al, 2020 (microsatellites), collected: 8/1/2012, month: Aug, year: 2012"	"Trumbull Park, IL"	10				
011.BoxEUT.2024	"Box Elder Co, UT"	BoxEUT	20	0	0	2024	1.00	41.699446	-112.163864	This study	Vectech ID = BOXUT	Box Elder County UT	11				
012.OgdeUT.2024	"Ogden, UT"	OgdeUT	7	0	0	2024	1.00	41.203587	-112.048028	This study	Vectech ID = OGDUT	Ogden UT	12				
013.OxfoNJ.1953	"Oxford, NJ"	OxfoNJ	49	0	0	1953	1.00	40.8032	-74.9896	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Oxford, New Jersey"	13				
014.FortNY.2007	"Fort Totten, NY"	FortNY	84	5	10	2007	0.87	40.7960	-73.7780	"Huang et al, 2011 "	"Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, Fig. 1 percent total reported, long approximated, date provided from previous paper), collected: 06/01/2007-Vectech-10/30/2007, month: Jun-Vectech-Oct, year: 2007"	"Fort Totten, NY"	14				
015.SaltUT.2023	"Salt Lake City, UT"	SaltUT	2	11	7	2023	0.38	40.74804853	-111.9678782	This study	Vectech ID = SLCUT	Salt Lake City UT	15				
016.SaltUT.2021	"Salt Lake City, UT"	SaltUT	9	10	4	2021	0.61	40.7475	-111.9676	"Cope, 2023 "	"Cope, 2023 (Ace2), collected: 8/5/2021, month: Aug, year: 2021"	"Salt Lake City, UT"	16				
017.GoveNY.1953	"Governor's Island, NY"	GoveNY	15	0	0	1953	1.00	40.6915	-74.0124	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Governor's Island, New York"	17				
018.SaltUT.1957	"Salt Lake Co, UT*"	SaltUT	40	0	1	1957	0.98	40.6632	-111.9103	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Salt Lake Co., Utah*"	18				
019.FreeNY.1953	"Freeport, NY"	FreeNY	56	0	0	1953	1.00	40.6576	-73.5836	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Freeport, New York"	19				
020.BensUT.2021	"Benson Mill, UT"	BensUT	0	13	9	2021	0.30	40.6494	-112.2968	"Cope, 2023 "	"Cope, 2023 (Ace2), collected: 8/12/2021, month: Aug, year: 2021"	"Benson Mill, Tooele County, UT"	20				
021.ReddCA.2003	"Redding Shasta Co, CA"	ReddCA	1	0	0	2003	1.00	40.5804	-122.3771	"McAbee et al, 2008 "	"McAbee et al, 2008 (Ace2, DVM), collected from wild in 2003 and then maintained in lab colony"	"Redding, Shasta County, CA***"	21				
022.HuntNJ.2023	"Hunterdon, NJ"	HuntNJ	16	2	1	2023	0.89	40.539588	-74.834616	This study	Vectech ID = HUNNJ	Hunterdon NJ	22				
023.SomeNJ.2023	"Somerset, NJ"	SomeNJ	12	3	0	2023	0.90	40.533576	-74.586099	This study	Vectech ID = SOMNJ	Somerset NJ	23				
024.FortCO.2023	"Fort Collins, CO"	FortCO	19	0	0	2023	1.00	40.38428	-104.7894	This study	Vectech ID = CSUCO	Fort Collins CO	24				
