"","pp","pq","qq","latitude","longitude"
"ANA-ST",0,0,19,29.903108,-81.400743
"BAR-MA",12,0,0,41.793615,-69.994266
"BYR-WA",37,2,0,46.1925,-119.898
"COS-TX",0,3,17,30.60044,-96.26893
"HUN-NJ",16,2,1,40.539588,-74.834616
"LIN-CA",38,2,0,38.8902575,-121.3015805
"MAR-AZ",0,0,16,33.0736167,-111.9737667
"MIA-FL",0,0,19,25.8225025,-80.2124575
"ROC-MD",17,3,0,39.057753,-77.130547
"SLC-UT",2,17,20,40.73043735,-111.9102295
"SOM-NJ",12,3,0,40.533576,-74.586099
"SUT-CA",9,8,1,39.166466,-121.598446
"USU-UT",20,0,0,41.79696,-111.82005
