locality,site,pp,pq,qq,latitude,longitude,collection-aprox,collection-year,collection-month,order,code,H-index
Cook County IL,01-COOIL,17,0,0,42.031763,-87.930871,7/31/23-8/1/23,2023,Jul-Aug,1,COOIL,1
Cache (Hyde Park) UT,02-USUUT,20,0,0,41.79696,-111.82005,7/25/23,2023,Sep,2,USUUT,1
Barnstable County MA,03-BARMA,12,0,0,41.793615,-69.994266,8/18/23,2023,Aug,3,BARMA,1
Box Elder County UT,04-BOXUT,20,0,0,41.699446,-112.163864,7/25/24,2024,Sep,4,BOXUT,1
Ogden UT,05-OGDUT,7,0,0,41.203587,-112.048028,9/19/24,2024,Sep,5,OGDUT,1
Fort Collins CO,06-CSUCO,19,0,0,40.38428,-104.7894,5/1/24,2023,May-Sep,6,CSUCO,1
Ute Tribal Lands (Yellowstone) UT,07-UTEUT,18,0,0,40.3289,-109.8911,7/2/24,2024,Jul,7,UTEUT,1
Vernal (Boothill) UT,08-VERUT,28,0,0,40.2618,-109.3511,7/16/24,2024,Jul,8,VERUT,1
Provo UT,09-PROUT,12,0,0,40.2006463,-111.6273074,,2024,Jul-Sep,9,PROUT,1
Moab UT,10-MOAUT,5,0,0,38.59597,-109.5737639,5/1/24,2024,May,10,MOAUT,1
Lincoln CA,11-LINCA,38,2,0,38.904465,-121.306331,9/18/23,2023,Sep,11,LINCA,0.975
Byron WA,12-BYRWA,37,2,0,46.193,-119.899,9/26/23,2023,Sep,12,BYRWA,0.974358974
Rockville MD,13-ROCMD,17,3,0,39.057753,-77.130547,6/6/23,2023,Jun,13,ROCMD,0.925
Somerset NJ,14-SOMNJ,12,3,0,40.533576,-74.586099,9/20/23,2023,Sep,14,SOMNJ,0.9
Hunterdon NJ,15-HUNNJ,16,2,1,40.539588,-74.834616,9/12/23,2023,Sep,15,HUNNJ,0.894736842
Sutter-Yuba CA,16-SUTCA,9,8,1,39.166466,-121.598446,10/11/23,2023,Sep,16,SUTCA,0.722222222
Salt Lake City UT,17-SLCUT,2,11,7,40.74804853,-111.9678782,9/19/23,2023,Sep,17,SLCUT,0.375
Dallas-Fort Worth TX,18-DFWTX,1,2,16,32.87272,-97.345164,10/28/24,2024,Oct,18,DFWTX,0.105263158
College Station TX,19-COSTX,0,3,17,30.60044,-96.26893,11/11/23,2023,Nov,19,COSTX,0.075
Slidell LA,20-SLILA,0,1,18,30.327,-89.749,4/30/24,2024,Apr,20,SLILA,0.026315789
St George UT,21-STGUT,0,0,38,37.179,-113.32,10/10/23,2023,Oct,21,STGUT,0
Phoenix AZ,22-PHOAZ,0,0,20,33.4484367,-112.07414,2/24/24,2024,Feb,22,PHOAZ,0
Maricopa County AZ,23-MARAZ,0,0,16,33.0736167,-111.9737667,10/22/23,2023,Oct,23,MARAZ,0
Anastasia FL,24-ANAFL,0,0,19,29.903108,-81.400743,10/2023-11/2023,2023,Oct-Nov,24,ANAFL,0
Miami-Dade County FL,25-MIAFL,0,0,19,25.80141,-80.19909,11/28/2023-11/29/2023,2023,Nov,25,MIAFL,0
