species,latitude,longitude,year,source,
hybrids,35.1131,-90.0572,2002,Savage et al. 2006 ,
hybrids,35.0770,-90.0600,2005,Kothera et al 2009 ,
hybrids,34.3240,-89.9450,2005,Kothera et al 2009 ,
hybrids,36.8820,-89.5870,2005,Kothera et al 2009 ,
hybrids,35.2122,-90.0384,2002,Savage et al. 2006 ,
hybrids,33.3330,-89.7530,2005,Kothera et al 2009 ,
hybrids,35.9400,-89.9110,2005,Kothera et al 2009 ,
hybrids,39.7000,-121.7900,1992,Urbanelli et al 1997 ,
hybrids,38.4732,-121.2981,1947,Barr 1957,
hybrids,36.8500,-120.0780,1992,Urbanelli et al 1997 ,
hybrids,36.7339,-119.4983,2000,Cornel et al 2003 ,
hybrids,40.1170,-88.2650,2005,Kothera et al 2009 ,
hybrids,38.0000,-88.9240,2005,Kothera et al 2009 ,
hybrids,35.4160,-119.0660,1992,Urbanelli et al 1997 ,
hybrids,36.4270,-119.6890,2005,McAbee et al 2008 ,
hybrids,36.3330,-119.3030,1992,Urbanelli et al 1997 ,
hybrids,38.0000,-121.7380,1992,Urbanelli et al 1997 ,
hybrids,32.3110,-90.1740,2005,Kothera et al 2009 ,
hybrids,36.7830,-120.0660,1992,Urbanelli et al 1997 ,
hybrids,41.7049,-87.5644,2012,Kothera et al 2020 ,
hybrids,39.1180,-88.5570,2005,Kothera et al 2009 ,
hybrids,35.3152,-90.0062,2002,Savage et al. 2006 ,
hybrids,37.3000,-121.0170,1992,Urbanelli et al 1997 ,
hybrids,37.7000,-122.3000,1992,Urbanelli et al 1997 ,
hybrids,33.8070,-84.3600,2007,Huang et al 2011 ,
hybrids,36.6667,-119.8333,2000,Cornel et al 2003 ,
hybrids,31.5860,-90.4520,2005,Kothera et al 2009 ,
hybrids,37.1670,-120.2500,1991,Urbanelli et al 1997 ,
hybrids,35.7430,-78.6260,2007,Huang et al 2011 ,
hybrids,36.8494,-76.29,1957,Barr 1957,
hybrids,40.6494,-112.2968,2021,Cope 2023 ,
hybrids,40.7475,-111.9676,2021,Cope 2023 ,
hybrids,38.6269,-90.1597,1944,Barr 1957,
hybrids,36.384,-92.5816,1957,Barr 1957,
hybrids,35.2784,-93.1338,1957,Barr 1957,
hybrids,40.7960,-73.7780,2007,Huang et al 2011 ,
hybrids,37.0236,-94.7352,1957,Barr 1957,
hybrids,34.7998,-87.6773,1954,Barr 1957,
hybrids,37.9373,-121.2774,1957,Barr 1957,
hybrids,38.8540,-77.1950,2007,Huang et al 2011 ,
hybrids,38.8472,-77.0118,2020,Arsenault-Benoit et al 2023 ,
hybrids,38.628,-90.191,1952,Barr 1957,
hybrids,37.0842,-94.5133,1952,Barr 1957,
hybrids,33.2115,-92.665,1953,Barr 1957,
hybrids,38.9719,-95.2359,1955,Barr 1957,
hybrids,38.8913,-77.0260,2019,Arsenault-Benoit et al 2023 ,
hybrids,37.9577,-121.2908,1957,Barr 1957,
hybrids,36.8588,-120.456,1952,Barr 1957,
hybrids,33.5856,-101.847,1953,Barr 1957,
hybrids,36.7394,-119.7848,1953,Barr 1957,
hybrids,33.7506,-117.8722,1953,Barr 1957,
hybrids,38.5801,-90.4069,1952,Barr 1957,
hybrids,40.2330,-74.7660,2007,Huang et al 2011 ,
hybrids,38.5662,-90.1794,1943,Barr 1957,
hybrids,39.0992,-77.0018,2020,Arsenault-Benoit et al 2023 ,
hybrids,39.2564,-76.9276,2020,Arsenault-Benoit et al 2023 ,
hybrids,45.456,-73.631,1944,Barr 1957,
hybrids,38.7287,-90.2178,1952,Barr 1957,
hybrids,35.5899,-77.3713,2016,Richards et al 2018 ,
hybrids,35.5187,-77.4184,2016,Richards et al 2018 ,
hybrids,36.7394,-119.7848,1953,Barr 1957,
hybrids,33.7506,-117.8722,1953,Barr 1957,
hybrids,36.7394,-119.7848,1953,Barr 1957,
hybrids,38.904465,-121.306331,2023,This study,
hybrids,46.193,-119.899,2023,This study,
hybrids,39.057753,-77.130547,2023,This study,
hybrids,40.533576,-74.586099,2023,This study,
hybrids,40.539588,-74.834616,2023,This study,
hybrids,39.166466,-121.598446,2023,This study,
hybrids,40.74804853,-111.9678782,2023,This study,
hybrids,32.87272,-97.345164,2024,This study,
hybrids,30.60044,-96.26893,2023,This study,
hybrids,30.327,-89.749,2024,This study,
