species,latitude,longitude,year,source
hybrids,35.1131,-90.0572,2002,Savage et al. 2006 
hybrids,35.077,-90.06,2005,Kothera et al 2009 
hybrids,34.324,-89.945,2005,Kothera et al 2009 
hybrids,36.882,-89.587,2005,Kothera et al 2009 
hybrids,35.2122,-90.0384,2002,Savage et al. 2006 
hybrids,33.333,-89.753,2005,Kothera et al 2009 
hybrids,35.94,-89.911,2005,Kothera et al 2009 
hybrids,39.7,-121.79,1992,Urbanelli et al 1997 
hybrids,38.4732,-121.2981,1947,Barr 1957
hybrids,36.85,-120.078,1992,Urbanelli et al 1997 
hybrids,36.7339,-119.4983,2000,Cornel et al 2003 
hybrids,40.117,-88.265,2005,Kothera et al 2009 
hybrids,38,-88.924,2005,Kothera et al 2009 
hybrids,35.416,-119.066,1992,Urbanelli et al 1997 
hybrids,36.427,-119.689,2005,McAbee et al 2008 
hybrids,36.333,-119.303,1992,Urbanelli et al 1997 
hybrids,38,-121.738,1992,Urbanelli et al 1997 
hybrids,32.311,-90.174,2005,Kothera et al 2009 
hybrids,36.783,-120.066,1992,Urbanelli et al 1997 
hybrids,41.7049,-87.5644,2012,Kothera et al 2020 
hybrids,39.118,-88.557,2005,Kothera et al 2009 
hybrids,35.3152,-90.0062,2002,Savage et al. 2006 
hybrids,37.3,-121.017,1992,Urbanelli et al 1997 
hybrids,37.7,-122.3,1992,Urbanelli et al 1997 
hybrids,33.807,-84.36,2007,Huang et al 2011 
hybrids,36.6667,-119.8333,2000,Cornel et al 2003 
hybrids,31.586,-90.452,2005,Kothera et al 2009 
hybrids,37.167,-120.25,1991,Urbanelli et al 1997 
hybrids,35.743,-78.626,2007,Huang et al 2011 
hybrids,36.8494,-76.29,1957,Barr 1957
hybrids,40.6494,-112.2968,2021,Cope 2023 
hybrids,40.7475,-111.9676,2021,Cope 2023 
hybrids,38.6269,-90.1597,1944,Barr 1957
hybrids,36.384,-92.5816,1957,Barr 1957
hybrids,35.2784,-93.1338,1957,Barr 1957
hybrids,40.796,-73.778,2007,Huang et al 2011 
hybrids,37.0236,-94.7352,1957,Barr 1957
hybrids,34.7998,-87.6773,1954,Barr 1957
hybrids,37.9373,-121.2774,1957,Barr 1957
hybrids,38.854,-77.195,2007,Huang et al 2011 
hybrids,38.8472,-77.0118,2020,Arsenault-Benoit et al 2023 
hybrids,38.628,-90.191,1952,Barr 1957
hybrids,37.0842,-94.5133,1952,Barr 1957
hybrids,33.2115,-92.665,1953,Barr 1957
hybrids,38.9719,-95.2359,1955,Barr 1957
hybrids,38.8913,-77.026,2019,Arsenault-Benoit et al 2023 
hybrids,37.9577,-121.2908,1957,Barr 1957
hybrids,36.8588,-120.456,1952,Barr 1957
hybrids,33.5856,-101.847,1953,Barr 1957
hybrids,36.7394,-119.7848,1953,Barr 1957
hybrids,33.7506,-117.8722,1953,Barr 1957
hybrids,38.5801,-90.4069,1952,Barr 1957
hybrids,40.233,-74.766,2007,Huang et al 2011 
hybrids,38.5662,-90.1794,1943,Barr 1957
hybrids,39.0992,-77.0018,2020,Arsenault-Benoit et al 2023 
hybrids,39.2564,-76.9276,2020,Arsenault-Benoit et al 2023 
hybrids,38.7287,-90.2178,1952,Barr 1957
hybrids,35.5899,-77.3713,2016,Richards et al 2018 
hybrids,35.5187,-77.4184,2016,Richards et al 2018 
hybrids,36.7394,-119.7848,1953,Barr 1957
hybrids,33.7506,-117.8722,1953,Barr 1957
hybrids,36.7394,-119.7848,1953,Barr 1957
hybrids,38.904465,-121.306331,2023,This study
hybrids,46.193,-119.899,2023,This study
hybrids,39.057753,-77.130547,2023,This study
hybrids,40.533576,-74.586099,2023,This study
hybrids,40.539588,-74.834616,2023,This study
hybrids,39.166466,-121.598446,2023,This study
hybrids,40.74804853,-111.9678782,2023,This study
hybrids,32.4223,-96.937,2024,This study
hybrids,30.60044,-96.26893,2023,This study
hybrids,30.327,-89.749,2024,This study
