species,latitude,longitude,year,source
pipiens,42.031763,-87.930871,2023,This
pipiens,41.79696,-111.82005,2023,This
pipiens,41.793615,-69.994266,2023,This
pipiens,41.699446,-112.163864,2024,This
pipiens,41.203587,-112.048028,2024,This
pipiens,40.38428,-104.7894,2023,This
pipiens,40.3289,-109.8911,2024,This
pipiens,40.2618,-109.3511,2024,This
pipiens,40.2006463,-111.6273074,2024,This
pipiens,38.59597,-109.5737639,2024,This
pipiens,38.904465,-121.306331,2023,This
pipiens,46.193,-119.899,2023,This
pipiens,39.057753,-77.130547,2023,This
pipiens,40.533576,-74.586099,2023,This
pipiens,40.539588,-74.834616,2023,This
pipiens,39.166466,-121.598446,2023,This
pipiens,40.74804853,-111.9678782,2023,This
pipiens,32.87272,-97.345164,2024,This
pipiens,39.0083,-76.7454,2003,VectorBase
pipiens,38.9914,-76.9189,2003,VectorBase
pipiens,38.9236,-76.9047,2003,VectorBase
pipiens,38.942,-76.9485,2003,VectorBase
pipiens,38.9496,-76.9489,2003,VectorBase
pipiens,39.002,-76.9218,2003,VectorBase
pipiens,38.8995,-76.7723,2003,VectorBase
pipiens,38.8317,-76.7659,2003,VectorBase
pipiens,38.9213,-76.7969,2003,VectorBase
pipiens,38.7989,-76.9561,2003,VectorBase
pipiens,39.0683,-76.8739,2003,VectorBase
pipiens,38.9202,-76.9116,2003,VectorBase
pipiens,38.9198,-76.7936,2003,VectorBase
pipiens,39.0422,-76.7835,2003,VectorBase
pipiens,38.9999,-76.8191,2003,VectorBase
pipiens,38.9551,-76.9282,2003,VectorBase
pipiens,39.0419,-76.791,2003,VectorBase
pipiens,39.0021,-76.7361,2003,VectorBase
pipiens,39.0054,-76.9167,2003,VectorBase
pipiens,38.9549,-76.9333,2003,VectorBase
pipiens,39.0661,-76.9362,2003,VectorBase
pipiens,36.83,-76.539,2008,VectorBase
pipiens,36.847,-76.475,2008,VectorBase
pipiens,36.825,-76.509,2008,VectorBase
pipiens,36.73,-76.57,2008,VectorBase
pipiens,36.875,-76.459,2008,VectorBase
pipiens,36.852,-76.584,2008,VectorBase
pipiens,36.853,-76.445,2008,VectorBase
pipiens,36.799,-76.571,2008,VectorBase
pipiens,36.645,-76.713,2008,VectorBase
pipiens,36.764,-76.542,2008,VectorBase
pipiens,36.899,-76.51,2008,VectorBase
pipiens,36.883,-76.414,2008,VectorBase
pipiens,36.682,-76.787,2008,VectorBase
pipiens,36.901,-76.536,2008,VectorBase
pipiens,36.766,-76.58,2008,VectorBase
pipiens,36.716,-76.577,2008,VectorBase
pipiens,36.746,-76.584,2008,VectorBase
pipiens,36.873,-76.433,2008,VectorBase
pipiens,36.717,-76.647,2008,VectorBase
pipiens,36.73,-76.587,2008,VectorBase
pipiens,36.694,-76.585,2008,VectorBase
pipiens,36.861,-76.434,2008,VectorBase
pipiens,36.795,-76.49,2008,VectorBase
pipiens,36.715,-76.549,2008,VectorBase
pipiens,36.82,-76.462,2008,VectorBase
pipiens,36.715,-76.584,2008,VectorBase
pipiens,36.779,-76.523,2008,VectorBase
pipiens,36.824,-76.475,2008,VectorBase
pipiens,36.644,-76.547,2008,VectorBase
pipiens,36.728,-76.546,2008,VectorBase
pipiens,36.733,-76.602,2008,VectorBase
pipiens,36.795,-76.622,2008,VectorBase
pipiens,36.91,-76.488,2008,VectorBase
pipiens,36.75,-76.554,2008,VectorBase
pipiens,36.885,-76.419,2008,VectorBase
pipiens,36.725,-76.537,2008,VectorBase
pipiens,36.61,-76.662,2008,VectorBase
pipiens,36.725,-76.603,2008,VectorBase
pipiens,36.728,-76.555,2008,VectorBase
pipiens,39.8411,-85.9929,2008,VectorBase
pipiens,39.8503,-86.1797,2008,VectorBase
pipiens,39.715,-86.0745,2008,VectorBase
pipiens,39.8735,-86.3226,2008,VectorBase
pipiens,39.6394,-86.1991,2008,VectorBase
pipiens,39.6672,-85.9932,2008,VectorBase
pipiens,39.6892,-86.0913,2008,VectorBase
pipiens,39.739,-86.3172,2008,VectorBase
pipiens,39.81,-86.0697,2008,VectorBase
pipiens,39.7309,-86.196,2008,VectorBase
pipiens,39.6832,-86.149,2008,VectorBase
pipiens,39.9012,-86.125,2008,VectorBase
pipiens,39.8935,-86.1456,2008,VectorBase
pipiens,39.8913,-85.9878,2008,VectorBase
pipiens,39.8949,-86.0908,2008,VectorBase
pipiens,39.8428,-86.1138,2008,VectorBase
pipiens,39.7045,-86.1736,2008,VectorBase
pipiens,39.736,-85.9762,2008,VectorBase
pipiens,36.73,-76.57,2009,VectorBase
pipiens,36.883,-76.414,2009,VectorBase
pipiens,36.807,-76.519,2009,VectorBase
pipiens,36.717,-76.647,2009,VectorBase
pipiens,36.617,-76.579,2009,VectorBase
pipiens,36.73,-76.587,2009,VectorBase
pipiens,36.91,-76.488,2009,VectorBase
pipiens,36.728,-76.555,2009,VectorBase
pipiens,36.865,-76.477,2009,VectorBase
pipiens,36.728,-76.546,2009,VectorBase
pipiens,36.795,-76.49,2009,VectorBase
pipiens,36.618,-76.56,2009,VectorBase
pipiens,36.715,-76.584,2009,VectorBase
pipiens,36.75,-76.554,2009,VectorBase
pipiens,36.799,-76.571,2009,VectorBase
pipiens,36.645,-76.713,2009,VectorBase
pipiens,36.862,-76.502,2009,VectorBase
pipiens,36.845,-76.495,2009,VectorBase
pipiens,36.853,-76.445,2009,VectorBase
pipiens,36.82,-76.462,2009,VectorBase
pipiens,36.733,-76.602,2009,VectorBase
pipiens,36.847,-76.475,2009,VectorBase
pipiens,36.747,-76.534,2009,VectorBase
pipiens,36.885,-76.419,2009,VectorBase
pipiens,36.766,-76.58,2009,VectorBase
pipiens,36.838,-76.523,2009,VectorBase
pipiens,36.915,-76.483,2009,VectorBase
pipiens,36.873,-76.433,2009,VectorBase
pipiens,36.825,-76.509,2009,VectorBase
pipiens,36.61,-76.662,2009,VectorBase
pipiens,36.779,-76.523,2009,VectorBase
pipiens,36.888,-76.445,2009,VectorBase
pipiens,36.725,-76.603,2009,VectorBase
pipiens,36.726,-76.563,2009,VectorBase
pipiens,36.899,-76.51,2009,VectorBase
pipiens,36.716,-76.577,2009,VectorBase
pipiens,36.852,-76.584,2009,VectorBase
pipiens,39.8411,-85.9929,2009,VectorBase
pipiens,39.8935,-86.1456,2009,VectorBase
pipiens,39.8503,-86.1797,2009,VectorBase
pipiens,39.9012,-86.125,2009,VectorBase
pipiens,39.8949,-86.0908,2009,VectorBase
pipiens,39.8913,-85.9878,2009,VectorBase
pipiens,39.6394,-86.1991,2009,VectorBase
pipiens,39.8014,-86.3102,2009,VectorBase
pipiens,39.6892,-86.0913,2009,VectorBase
pipiens,39.736,-85.9762,2009,VectorBase
pipiens,39.739,-86.3172,2009,VectorBase
pipiens,39.81,-86.0697,2009,VectorBase
pipiens,39.7309,-86.196,2009,VectorBase
pipiens,39.8428,-86.1138,2009,VectorBase
pipiens,39.7747,-86.2482,2009,VectorBase
pipiens,39.6672,-85.9932,2009,VectorBase
pipiens,39.7045,-86.1736,2009,VectorBase
pipiens,39.6832,-86.149,2009,VectorBase
pipiens,39.715,-86.0745,2009,VectorBase
pipiens,39.8735,-86.3226,2009,VectorBase
pipiens,46.81,-96.89,2010,VectorBase
pipiens,46.82,-96.92,2010,VectorBase
pipiens,46.9,-96.86,2010,VectorBase
pipiens,46.91,-96.78,2010,VectorBase
pipiens,46.84,-96.79,2010,VectorBase
pipiens,46.94,-96.8,2010,VectorBase
pipiens,46.85,-96.83,2010,VectorBase
pipiens,46.9,-97.2,2010,VectorBase
pipiens,46.84,-96.81,2010,VectorBase
pipiens,46.83,-96.82,2010,VectorBase
pipiens,46.92,-96.86,2010,VectorBase
pipiens,46.86,-96.81,2010,VectorBase
pipiens,46.88,-96.9,2010,VectorBase
pipiens,47.11,-97.21,2010,VectorBase
pipiens,46.98,-96.88,2010,VectorBase
pipiens,47.11,-97.39,2010,VectorBase
pipiens,46.85,-96.9,2010,VectorBase
pipiens,46.89,-96.82,2010,VectorBase
pipiens,46.89,-96.8,2010,VectorBase
pipiens,46.88,-96.77,2010,VectorBase
pipiens,46.92,-96.78,2010,VectorBase
pipiens,47.19,-97.21,2010,VectorBase
pipiens,36.73,-76.57,2010,VectorBase
pipiens,36.888,-76.445,2010,VectorBase
pipiens,36.852,-76.584,2010,VectorBase
pipiens,36.73,-76.587,2010,VectorBase
pipiens,36.865,-76.477,2010,VectorBase
pipiens,36.764,-76.542,2010,VectorBase
pipiens,36.728,-76.555,2010,VectorBase
pipiens,36.825,-76.509,2010,VectorBase
pipiens,36.61,-76.662,2010,VectorBase
pipiens,36.838,-76.523,2010,VectorBase
pipiens,36.715,-76.584,2010,VectorBase
pipiens,36.883,-76.414,2010,VectorBase
pipiens,36.915,-76.483,2010,VectorBase
pipiens,36.82,-76.462,2010,VectorBase
pipiens,36.885,-76.419,2010,VectorBase
pipiens,36.779,-76.523,2010,VectorBase
pipiens,36.75,-76.554,2010,VectorBase
pipiens,36.694,-76.585,2010,VectorBase
pipiens,36.83,-76.539,2010,VectorBase
pipiens,36.873,-76.433,2010,VectorBase
pipiens,36.899,-76.51,2010,VectorBase
pipiens,36.733,-76.602,2010,VectorBase
pipiens,36.682,-76.787,2010,VectorBase
pipiens,36.728,-76.546,2010,VectorBase
pipiens,36.716,-76.577,2010,VectorBase
pipiens,36.91,-76.488,2010,VectorBase
pipiens,36.853,-76.445,2010,VectorBase
pipiens,36.862,-76.502,2010,VectorBase
pipiens,39.6832,-86.149,2010,VectorBase
pipiens,39.8935,-86.1456,2010,VectorBase
pipiens,39.7309,-86.196,2010,VectorBase
pipiens,39.8735,-86.3226,2010,VectorBase
pipiens,39.9012,-86.125,2010,VectorBase
pipiens,39.8913,-85.9878,2010,VectorBase
pipiens,39.81,-86.0697,2010,VectorBase
pipiens,39.736,-85.9762,2010,VectorBase
pipiens,39.7045,-86.1736,2010,VectorBase
pipiens,39.8503,-86.1797,2010,VectorBase
pipiens,39.6394,-86.1991,2010,VectorBase
pipiens,39.6892,-86.0913,2010,VectorBase
pipiens,39.6672,-85.9932,2010,VectorBase
pipiens,39.8411,-85.9929,2010,VectorBase
pipiens,39.8014,-86.3102,2010,VectorBase
pipiens,39.739,-86.3172,2010,VectorBase
pipiens,39.715,-86.0745,2010,VectorBase
pipiens,39.8949,-86.0908,2010,VectorBase
pipiens,39.7747,-86.2482,2010,VectorBase
pipiens,39.8428,-86.1138,2010,VectorBase
pipiens,46.9,-97.2,2011,VectorBase
pipiens,46.85,-96.85,2011,VectorBase
pipiens,46.91,-96.78,2011,VectorBase
pipiens,47.19,-97.21,2011,VectorBase
pipiens,46.85,-96.9,2011,VectorBase
pipiens,47.11,-97.39,2011,VectorBase
pipiens,46.85,-96.83,2011,VectorBase
pipiens,46.89,-96.8,2011,VectorBase
pipiens,46.98,-96.88,2011,VectorBase
pipiens,46.89,-96.82,2011,VectorBase
pipiens,46.94,-96.8,2011,VectorBase
pipiens,46.88,-96.77,2011,VectorBase
pipiens,46.92,-96.78,2011,VectorBase
pipiens,47.11,-97.21,2011,VectorBase
pipiens,47,-97.22,2011,VectorBase
pipiens,46.92,-96.86,2011,VectorBase
pipiens,46.84,-96.79,2011,VectorBase
pipiens,46.77,-96.8,2011,VectorBase
pipiens,46.88,-96.9,2011,VectorBase
pipiens,46.85,-96.87,2011,VectorBase
pipiens,36.873,-76.433,2011,VectorBase
pipiens,36.825,-76.642,2011,VectorBase
pipiens,36.61,-76.662,2011,VectorBase
pipiens,36.715,-76.584,2011,VectorBase
pipiens,36.915,-76.483,2011,VectorBase
pipiens,36.728,-76.555,2011,VectorBase
pipiens,36.875,-76.459,2011,VectorBase
pipiens,36.75,-76.554,2011,VectorBase
pipiens,36.645,-76.713,2011,VectorBase
pipiens,36.733,-76.602,2011,VectorBase
pipiens,36.694,-76.585,2011,VectorBase
pipiens,36.795,-76.622,2011,VectorBase
pipiens,36.728,-76.546,2011,VectorBase
pipiens,36.716,-76.577,2011,VectorBase
pipiens,36.853,-76.445,2011,VectorBase
pipiens,36.807,-76.519,2011,VectorBase
pipiens,36.73,-76.57,2011,VectorBase
pipiens,36.885,-76.419,2011,VectorBase
pipiens,36.845,-76.586,2011,VectorBase
pipiens,36.682,-76.787,2011,VectorBase
pipiens,36.825,-76.509,2011,VectorBase
pipiens,36.847,-76.475,2011,VectorBase
pipiens,36.82,-76.462,2011,VectorBase
pipiens,36.766,-76.58,2011,VectorBase
pipiens,36.779,-76.523,2011,VectorBase
pipiens,36.888,-76.445,2011,VectorBase
pipiens,36.91,-76.488,2011,VectorBase
pipiens,36.776,-76.606,2011,VectorBase
pipiens,36.718,-76.622,2011,VectorBase
pipiens,36.73,-76.587,2011,VectorBase
pipiens,36.883,-76.414,2011,VectorBase
pipiens,36.862,-76.502,2011,VectorBase
pipiens,36.795,-76.49,2011,VectorBase
pipiens,39.8949,-86.0908,2011,VectorBase
pipiens,39.736,-85.9762,2011,VectorBase
pipiens,39.6892,-86.0913,2011,VectorBase
pipiens,39.8913,-85.9878,2011,VectorBase
pipiens,39.739,-86.3172,2011,VectorBase
pipiens,39.7045,-86.1736,2011,VectorBase
pipiens,39.8428,-86.1138,2011,VectorBase
pipiens,39.8735,-86.3226,2011,VectorBase
pipiens,39.7747,-86.2482,2011,VectorBase
pipiens,39.8411,-85.9929,2011,VectorBase
pipiens,39.6394,-86.1991,2011,VectorBase
pipiens,39.9012,-86.125,2011,VectorBase
pipiens,39.7309,-86.196,2011,VectorBase
pipiens,39.8503,-86.1797,2011,VectorBase
pipiens,39.8014,-86.3102,2011,VectorBase
pipiens,39.8935,-86.1456,2011,VectorBase
pipiens,39.715,-86.0745,2011,VectorBase
pipiens,39.81,-86.0697,2011,VectorBase
pipiens,39.6672,-85.9932,2011,VectorBase
pipiens,39.6832,-86.149,2011,VectorBase
pipiens,46.82,-96.92,2012,VectorBase
pipiens,46.94,-96.8,2012,VectorBase
pipiens,46.98,-96.88,2012,VectorBase
pipiens,46.86,-96.81,2012,VectorBase
pipiens,46.83,-96.86,2012,VectorBase
pipiens,46.88,-96.95,2012,VectorBase
pipiens,46.81,-96.89,2012,VectorBase
pipiens,46.9,-97.2,2012,VectorBase
pipiens,46.85,-96.85,2012,VectorBase
pipiens,46.84,-96.79,2012,VectorBase
pipiens,47.11,-97.21,2012,VectorBase
pipiens,46.88,-96.9,2012,VectorBase
pipiens,47.19,-97.21,2012,VectorBase
pipiens,47.15,-96.97,2012,VectorBase
pipiens,46.88,-96.77,2012,VectorBase
pipiens,46.77,-96.8,2012,VectorBase
pipiens,46.92,-96.86,2012,VectorBase
pipiens,46.85,-96.9,2012,VectorBase
pipiens,46.89,-96.8,2012,VectorBase
pipiens,46.89,-96.82,2012,VectorBase
pipiens,46.85,-96.87,2012,VectorBase
pipiens,46.9,-96.86,2012,VectorBase
pipiens,46.85,-96.83,2012,VectorBase
pipiens,46.91,-96.78,2012,VectorBase
pipiens,46.92,-96.78,2012,VectorBase
pipiens,36.716,-76.577,2012,VectorBase
pipiens,36.915,-76.483,2012,VectorBase
pipiens,36.888,-76.445,2012,VectorBase
pipiens,36.73,-76.587,2012,VectorBase
pipiens,36.728,-76.555,2012,VectorBase
pipiens,36.845,-76.586,2012,VectorBase
pipiens,36.61,-76.662,2012,VectorBase
pipiens,36.73,-76.57,2012,VectorBase
pipiens,36.747,-76.538,2012,VectorBase
pipiens,36.807,-76.519,2012,VectorBase
pipiens,36.682,-76.787,2012,VectorBase
pipiens,36.718,-76.622,2012,VectorBase
pipiens,36.847,-76.475,2012,VectorBase
pipiens,36.875,-76.459,2012,VectorBase
pipiens,36.795,-76.49,2012,VectorBase
pipiens,36.766,-76.58,2012,VectorBase
pipiens,36.717,-76.647,2012,VectorBase
pipiens,36.83,-76.539,2012,VectorBase
pipiens,36.715,-76.584,2012,VectorBase
pipiens,36.733,-76.602,2012,VectorBase
pipiens,36.728,-76.546,2012,VectorBase
pipiens,36.764,-76.542,2012,VectorBase
pipiens,36.75,-76.554,2012,VectorBase
pipiens,36.645,-76.713,2012,VectorBase
pipiens,36.91,-76.488,2012,VectorBase
pipiens,36.593,-76.679,2012,VectorBase
pipiens,36.899,-76.51,2012,VectorBase
pipiens,36.795,-76.622,2012,VectorBase
pipiens,36.715,-76.549,2012,VectorBase
pipiens,36.883,-76.414,2012,VectorBase
pipiens,36.862,-76.502,2012,VectorBase
pipiens,36.873,-76.433,2012,VectorBase
pipiens,39.7157,-86.1128,2012,VectorBase
pipiens,39.6394,-86.1991,2012,VectorBase
pipiens,39.739,-86.3172,2012,VectorBase
pipiens,39.8428,-86.1138,2012,VectorBase
pipiens,39.8735,-86.3226,2012,VectorBase
pipiens,39.8503,-86.1797,2012,VectorBase
pipiens,39.81,-86.0697,2012,VectorBase
pipiens,39.6672,-85.9932,2012,VectorBase
pipiens,39.736,-85.9762,2012,VectorBase
pipiens,39.8913,-85.9878,2012,VectorBase
pipiens,39.8885,-86.0539,2012,VectorBase
pipiens,39.7747,-86.2482,2012,VectorBase
pipiens,39.6926,-86.2315,2012,VectorBase
pipiens,39.8935,-86.1456,2012,VectorBase
pipiens,39.8411,-85.9929,2012,VectorBase
pipiens,39.7309,-86.196,2012,VectorBase
pipiens,39.8014,-86.3102,2012,VectorBase
pipiens,39.8949,-86.0908,2012,VectorBase
pipiens,39.6832,-86.149,2012,VectorBase
pipiens,39.6892,-86.0913,2012,VectorBase
pipiens,46.87,-96.87,2013,VectorBase
pipiens,46.81,-96.89,2013,VectorBase
pipiens,46.84,-96.81,2013,VectorBase
pipiens,46.82,-96.92,2013,VectorBase
pipiens,46.85,-96.9,2013,VectorBase
pipiens,47.11,-97.39,2013,VectorBase
pipiens,47.19,-97.21,2013,VectorBase
pipiens,47,-97.22,2013,VectorBase
pipiens,46.89,-96.82,2013,VectorBase
pipiens,46.89,-96.8,2013,VectorBase
pipiens,46.86,-96.81,2013,VectorBase
pipiens,46.94,-96.8,2013,VectorBase
pipiens,46.83,-96.82,2013,VectorBase
pipiens,46.88,-96.9,2013,VectorBase
pipiens,46.88,-96.77,2013,VectorBase
pipiens,46.9,-97.2,2013,VectorBase
pipiens,47.15,-96.97,2013,VectorBase
pipiens,46.92,-96.86,2013,VectorBase
pipiens,46.85,-96.83,2013,VectorBase
pipiens,46.88,-96.95,2013,VectorBase
pipiens,46.84,-96.79,2013,VectorBase
pipiens,46.77,-96.8,2013,VectorBase
pipiens,46.85,-96.85,2013,VectorBase
pipiens,47.11,-97.21,2013,VectorBase
pipiens,46.85,-96.87,2013,VectorBase
pipiens,46.83,-96.86,2013,VectorBase
pipiens,46.9,-96.86,2013,VectorBase
pipiens,46.91,-96.78,2013,VectorBase
pipiens,46.92,-96.78,2013,VectorBase
pipiens,46.98,-96.88,2013,VectorBase
pipiens,36.915,-76.483,2013,VectorBase
pipiens,36.716,-76.577,2013,VectorBase
pipiens,36.885,-76.419,2013,VectorBase
pipiens,36.694,-76.585,2013,VectorBase
pipiens,36.795,-76.622,2013,VectorBase
pipiens,36.838,-76.523,2013,VectorBase
pipiens,36.75,-76.554,2013,VectorBase
pipiens,36.747,-76.538,2013,VectorBase
pipiens,36.715,-76.584,2013,VectorBase
pipiens,36.682,-76.787,2013,VectorBase
pipiens,36.862,-76.502,2013,VectorBase
pipiens,36.799,-76.571,2013,VectorBase
pipiens,36.776,-76.606,2013,VectorBase
pipiens,36.766,-76.58,2013,VectorBase
pipiens,36.875,-76.459,2013,VectorBase
pipiens,36.715,-76.549,2013,VectorBase
pipiens,36.91,-76.488,2013,VectorBase
pipiens,36.883,-76.414,2013,VectorBase
pipiens,36.733,-76.602,2013,VectorBase
