species,latitude,longitude,year,source
quinquefasciatus,40.539588,-74.834616,2023,This
quinquefasciatus,39.166466,-121.598446,2023,This
quinquefasciatus,40.74804853,-111.9678782,2023,This
quinquefasciatus,32.42235,-96.936984,2024,This
quinquefasciatus,33.0736167,-111.9737667,2023,This
quinquefasciatus,30.60044,-96.26893,2023,This
quinquefasciatus,30.327,-89.749,2024,This
quinquefasciatus,29.903108,-81.400743,2023,This
quinquefasciatus,25.80141,-80.19909,2023,This
quinquefasciatus,37.179,-113.32,2023,This
quinquefasciatus,33.4484367,-112.07414,2024,This
quinquefasciatus,29.8467,-81.5106,2004,VectorBase
quinquefasciatus,29.8228,-81.5522,2004,VectorBase
quinquefasciatus,29.7256,-81.5062,2004,VectorBase
quinquefasciatus,29.8608,-81.4613,2004,VectorBase
quinquefasciatus,29.8143,-81.3795,2004,VectorBase
quinquefasciatus,29.742,-81.4722,2004,VectorBase
quinquefasciatus,29.7675,-81.4534,2004,VectorBase
quinquefasciatus,29.8177,-81.3036,2004,VectorBase
quinquefasciatus,30.1252,-81.4184,2004,VectorBase
quinquefasciatus,29.8426,-81.3136,2004,VectorBase
quinquefasciatus,30.1941,-81.4035,2004,VectorBase
quinquefasciatus,29.842,-81.2739,2004,VectorBase
quinquefasciatus,29.9891,-81.5871,2004,VectorBase
quinquefasciatus,29.9168,-81.3368,2004,VectorBase
quinquefasciatus,29.8953,-81.3289,2004,VectorBase
quinquefasciatus,30.2479,-81.4328,2004,VectorBase
quinquefasciatus,30.2141,-81.385,2004,VectorBase
quinquefasciatus,29.8733,-81.288,2004,VectorBase
quinquefasciatus,29.9201,-81.3173,2004,VectorBase
quinquefasciatus,29.848,-81.3559,2004,VectorBase
quinquefasciatus,29.9996,-81.3701,2004,VectorBase
quinquefasciatus,29.6544,-81.3329,2004,VectorBase
quinquefasciatus,29.659,-81.4715,2004,VectorBase
quinquefasciatus,30.1169,-81.6324,2004,VectorBase
quinquefasciatus,29.9482,-81.5755,2004,VectorBase
quinquefasciatus,30.0815,-81.6524,2004,VectorBase
quinquefasciatus,29.9808,-81.5173,2004,VectorBase
quinquefasciatus,29.842,-81.274,2004,VectorBase
quinquefasciatus,29.9522,-81.3355,2004,VectorBase
quinquefasciatus,30.0474,-81.5466,2004,VectorBase
quinquefasciatus,29.8747,-81.3399,2004,VectorBase
quinquefasciatus,30.075,-81.6139,2004,VectorBase
quinquefasciatus,30.1476,-81.3645,2004,VectorBase
quinquefasciatus,29.9811,-81.4807,2004,VectorBase
quinquefasciatus,29.9138,-81.4924,2004,VectorBase
quinquefasciatus,30.0673,-81.6528,2004,VectorBase
quinquefasciatus,29.8734,-81.288,2004,VectorBase
quinquefasciatus,30.0803,-81.6387,2004,VectorBase
quinquefasciatus,29.7899,-81.3248,2004,VectorBase
quinquefasciatus,29.9075,-81.3758,2004,VectorBase
quinquefasciatus,30.203,-81.3783,2004,VectorBase
quinquefasciatus,29.7607,-81.3035,2004,VectorBase
quinquefasciatus,29.7127,-81.5049,2004,VectorBase
quinquefasciatus,30.1782,-81.3955,2004,VectorBase
quinquefasciatus,30.1107,-81.6009,2004,VectorBase
quinquefasciatus,30.0907,-81.4353,2004,VectorBase
quinquefasciatus,29.8143,-81.3438,2004,VectorBase
quinquefasciatus,29.6491,-81.4441,2004,VectorBase
quinquefasciatus,30.2515,-81.402,2004,VectorBase
quinquefasciatus,30.2479,-81.4328,2005,VectorBase
quinquefasciatus,29.8734,-81.288,2005,VectorBase
quinquefasciatus,30.075,-81.6139,2005,VectorBase
quinquefasciatus,29.9482,-81.5755,2005,VectorBase
quinquefasciatus,29.842,-81.274,2005,VectorBase
quinquefasciatus,30.1782,-81.3955,2005,VectorBase
