Site,Locality,Source,latitude,longitude,collection-aprox,collection-year,collection-month
SLILA,"Hunter's Creek Drive, Slidell, LA",This Study (Ace2),30.327,-89.749,4/30/2024,2024,Apr
BYRWA,"Byron, WA (Byron Pond)",This Study (Ace2),46.193,-119.899,9/26/2023,2023,Sep
COSTX,"College Station, TX",This Study (Ace2),30.60044,-96.26893,11/11/2023,2023,Nov
HUNNJ,"Hunterdon, NJ",This Study (Ace2),40.539588,-74.834616,9/12/2023,2023,Sep
LINCA2,"Lincoln, CA (Lincoln Ranch)",This Study (Ace2),38.904465,-121.306331,9/18/2023,2023,Sep
ROCMD,"Rockville, MD",This Study (Ace2),39.057753,-77.130547,6/6/2023,2023,Jun
SLCUT,"Salt Lake City, UT (mix of sites)",This Study (Ace2),40.74804853,-111.9678782,9/19/2023,2023,Sep
SOMNJ,"Somerset, NJ",This Study (Ace2),40.533576,-74.586099,9/20/2023,2023,Sep
SUTCA,"Sutter-Yuba, CA",This Study (Ace2),39.166466,-121.598446,10/11/2023,2023,Sep
GLEUT-Cope,"Glendale, Salt Lake County UT","Cope, 2023 (Ace2)",40.747503,-111.967566,8/5/2021,2021,Aug
BENUT-Cope,"Benson Mill, Tooele County, UT","Cope, 2023 (Ace2)",40.649387,-112.296753,8/12/2021,2021,Aug
GRENC-Richards,"Greenville, Pitt County, NC","Richards et al, 2018 (species ID not listed, lat and long approximated)",35.589873,-77.371302,not provided,2016,Jun-Oct
WINNC-Richards,"Winterville, Pitt County, NC","Richards et al, 2018 (species ID not listed, lat and long approximated)",35.518729,-77.418449,not provided,2016,Jun-Oct
TRUIL-Kothera,"Trumbull Park, IL","Kothera et al, 2020 (microsatellites)",41.7049,-87.5644,8/1/2012,2012,Aug
FAIVA-Huang,"Fairfax, VA","Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, long approximated, no date provided)",38.854,-77.195,not provided,2007,Jun-Oct
RALNC-Huang,"Raleigh, NC","Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, long approximated, no date provided)",35.743,-78.626,not provided,2007,Jun-Oct
ATLGA-Huang,"Atlanta, GA","Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, long approximated, no date provided)",33.807,-84.36,not provided,2007,Jun-Oct
FORNY-Huang,"Fort Totten, NY","Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, long approximated, date provided from previous paper)",40.796,-73.778,06/01/2007-10/30/2007,2007,Jun-Oct
TRENJ-Huang,"Trenton, NJ","Huang et al, 2011 (Ace2/CxpG2T/CxpA2d, long approximated, date provided from previous paper)",40.233,-74.766,06/01/2007-10/30/2007,2007,Jun-Oct
